name,category1,zan,zhuanfa,pinglun,read
股市人生牛股多多, · 沪深,18,5,15,4.1
刘冰的成长之路, · 沪深,11,13,9,1.7
江涛的乐趣投资, · 沪深,9,4,4,3.1
e公司, · 沪深,6,3,5,3.1
e公司, · 沪深,2,0,1,1.6
e公司, · 沪深,5,0,3,2.3
Z帅的笔记, · 沪深,3,0,2,1
证券时报网, · 沪深,2,0,0,1.1
知微云, · 沪深,0,0,1,5.7
蓝鲸新财富, · 沪深,4,0,2,6.2
富凯财经, · 沪深,4,0,4,8.2
证券时报网, · 沪深,22,17,12,15.1
证券时报网, · 沪深,3,2,6,4.7
聪明投资者18, · 沪深,14,4,4,6.3
证券时报网, · 沪深,3,2,5,4.7
证券时报网, · 沪深,5,0,1,5.4
全景网, · 沪深,12,1,2,4.2
数据宝, · 沪深,7,0,3,3.8
数据宝, · 沪深,9,4,2,4.1
玩赚组合, · 沪深,13,0,1,9.8
ASUWISHAPL, · 沪深,7,7,28,9.6
凡德投资, · 沪深,4,1,2,6.9
数据咖, · 沪深,7,1,6,5.3
天弘基金张子法, · 沪深,0,0,1,3.2
竺劲-分析师, · 沪深,16,4,5,8.1
央视财经投资者说, · 沪深,18,14,26,4.6
又见牛滑倒, · 沪深,10,6,40,5.8
戴康, · 沪深,11,10,3,5.5
柏铭007, · 沪深,4,1,4,3.6
ASUWISHAPL, · 沪深,6,2,7,2.2
蜗牛慢慢爬, · 沪深,15,7,8,5.2
薛洪言, · 沪深,4,0,1,3.8
倒叙此生, · 沪深,13,2,11,5.5
林奇法则, · 沪深,15,15,17,5.2
大空神, · 沪深,4,1,1,1.6
复利长生, · 沪深,4,0,0,1.9
流水白菜, · 沪深,93,84,76,9.8
能力圈, · 沪深,8,4,3,3.3
守正出奇者, · 沪深,2,1,1,3.2
价值at风险, · 沪深,42,17,21,5.8
凯恩斯-财经名博, · 沪深,5,0,8,2.7
玩赚组合, · 沪深,36,4,19,9.3
洪锦屏, · 沪深,0,0,1,4.9
Jetham, · 沪深,3,3,14,3
IPO内参, · 沪深,1,0,0,2.1
明辉投资笔记, · 沪深,8,6,18,3.5
舍得, · 沪深,8,21,16,3
路北帅哥, · 沪深,0,0,1,2.5
调戏电商, · 沪深,2,1,2,4.2
蓝鲸TMT, · 沪深,1,1,1,2.5
蓝鲸TMT, · 沪深,1,0,0,3.5
蓝鲸TMT, · 沪深,3,0,7,3.8
薛洪言, · 沪深,0,1,0,2.6
今日话题, · 沪深,38,62,380,44
梦在和田, · 沪深,9,11,14,2.3
怀金悼玉, · 沪深,1,0,4,4.4
老崔在郑州, · 沪深,8,2,4,3.3
操盘小助手, · 沪深,347,412,362,63.4
环球老虎财经, · 沪深,0,1,1,2.7
久久81, · 沪深,7,2,9,3.2
ss蓝笨笨ss, · 沪深,3,1,4,2.4
正和岛, · 沪深,8,3,5,3.1
竺劲-分析师, · 沪深,4,0,0,4.9
竺劲-分析师, · 沪深,2,0,0,3.9
加州分析员, · 沪深,9,0,7,4.8
IPO日报, · 沪深,4,1,1,3.9
中巴价投研习社, · 沪深,15,7,4,4.2
北极之巅, · 沪深,8,3,3,4
扒菲特818, · 沪深,0,1,2,1.8
数据挖掘机, · 沪深,5,3,3,2.7
Passion启航, · 沪深,16,25,6,4.5
小彩贝, · 沪深,5,2,0,2.6
华商韬略, · 沪深,18,3,9,4.8
中巴价投研习社, · 沪深,3,7,2,3.3
小彩贝, · 沪深,1,2,10,2.3
独角金融, · 沪深,3,0,2,2.2
jimmy1107, · 沪深,2,0,0,2.9
承周资产, · 沪深,0,1,1,1.7
承周资产, · 沪深,2,6,4,3.6
灿海, · 沪深,13,4,5,1.4
颐园财经, · 沪深,1,1,5,2.6
颐园财经, · 沪深,0,0,0,1.5
中巴价投研习社, · 沪深,5,1,2,2.8
红利基金, · 沪深,17,18,6,3.6
shuning76, · 沪深,3,0,0,1.5
崔琰, · 沪深,2,0,1,2.4
xmutmh, · 沪深,0,0,0,2
mimifu, · 沪深,25,17,27,5.5
观点地产新媒体, · 沪深,2,2,0,1.4
定增并购圈, · 沪深,1,0,2,1.6
刘恩阳, · 沪深,0,0,2,1.1
天风证券研究所, · 沪深,2,2,2,1.6
江南一叶, · 沪深,1,0,0,1.7
菜鸟理财, · 沪深,1,0,0,1.8
华商韬略, · 沪深,1,2,11,1.4
华创策略王君团队, · 沪深,0,0,0,1.2
天风建筑, · 沪深,4,0,1,3.8
华宝添益, · 沪深,7,2,1,9.2
江瀚视野, · 沪深,8,1,7,6.8
独角金融, · 沪深,2,5,4,5.7
波浪带我去战斗, · 沪深,1,1,10,5.9
风格偏价值的小渔, · 沪深,10,4,6,10.8
-曹大勇-, · 沪深,208,138,318,46
中巴价投研习社, · 沪深,5,5,6,3.3
今日话题, · 沪深,29,1,8,13.2
数据宝, · 沪深,8,0,1,8.8
我爱读年报, · 沪深,42,36,54,4.8
数据挖掘机, · 沪深,25,9,7,15.7
信璞投资, · 沪深,0,0,1,3.2
信璞投资, · 沪深,0,0,0,2.6
持有封基, · 沪深,20,6,23,5.2
扶苏ZT, · 沪深,10,3,13,5.4
今日话题, · 沪深,57,5,10,10.8
市值风云, · 沪深,5,2,6,4.7
市值风云, · 沪深,4,4,9,3.3
市值风云, · 沪深,42,16,22,10.4
陈立峰, · 沪深,3,4,10,2.5
雨图, · 沪深,3,3,11,2.1
皑大佳, · 沪深,49,15,67,9.7
骑行夜幕的统计客, · 沪深,42,12,15,13.8
我想有个男朋友, · 沪深,40,19,38,8.5
财经早餐, · 沪深,5,0,1,2.4
只差一步, · 沪深,19,16,44,11.1
珍重待春風, · 沪深,6,1,9,6.4
沪深300股票大作手, · 沪深,33,8,29,16.1
霸气外鹿, · 沪深,19,5,27,8.4
价值投资进阶之路, · 沪深,1,0,5,2.5
天道骑牛, · 沪深,41,14,37,7.6
捕风猎景, · 沪深,11,10,11,4.8
依寒水, · 沪深,2,2,21,3.8
二矿工人, · 沪深,12,0,12,4.8
银行螺丝钉, · 沪深,53,33,52,6.6
梦想的旅途2011, · 沪深,4,0,2,4.5
加力投资, · 沪深,7,6,17,5
球的信仰, · 沪深,4,0,3,2.4
LEMONZZ, · 沪深,3,0,2,2.7
ETF投资搬运工, · 沪深,5,3,2,2
股社区, · 沪深,69,9,17,18.5
要闻直播, · 沪深,26,9,52,16.8
Jungle6626, · 沪深,2,0,0,5
海鸥投资, · 沪深,39,10,42,9.2
梁思禺, · 沪深,53,39,57,10.1
老陈爱炒股, · 沪深,9,5,3,3.9
e公司, · 沪深,4,1,1,7.2
e公司, · 沪深,2,1,0,3.4
野马财经, · 沪深,12,4,10,5.7
量化小王子, · 沪深,5,2,6,2.5
读懂上市公司, · 沪深,29,36,28,11.3
爱读财报的新人, · 沪深,1,2,2,1.6
qs_cn, · 沪深,7,0,12,2.9
阿猫投资, · 沪深,5,1,6,2.3
一朵喵, · 沪深,29,24,29,3.5
e公司, · 沪深,4,0,0,6.1
华泰机械章诚团队, · 沪深,3,1,2,3.3
价值ETF, · 沪深,17,19,6,3.8
神光财经, · 沪深,80,68,24,6.4
中巴价投研习社, · 沪深,7,1,2,3.5
暴击君, · 沪深,24,7,21,5.6
范德依彪, · 沪深,26,2,12,3
一见财经, · 沪深,96,79,434,47.4
